active_backlog,branch_issue_deadline,btech_ctc,btech_home,cgpa,company_name,exam_date,idd_imd_ctc,idd_imd_home,interview_date,mtech_ctc,mtech_home,phd_ctc,phd_home,ppt_date,profile,status,total_backlog,updated_at,willingness_deadline,x_percent,xii_percent,che,mec,bme,phe,phy,bce,ece,eee,min,cse,met,mst,civ,cer,mat,chy,btech,idd,mtech,phd
0.0,2017-08-19 12:00:00,"19,50,000",,7.0,Samsung Delhi,2017-10-03 00:00:00,"20,00,000",,,,,,,2017-10-03 00:00:00,Engineer,Willingness Sent,0.0,2017-09-16 13:36:00,2017-08-30 10:00:00,60.0,60.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0.0,2017-07-18 23:00:00,"6,50,000",,0.0,TREDENCE,2017-09-22 00:00:00,,,,,,,,2017-09-22 00:00:00,Business Analyst,Willingness Sent,0.0,2017-09-16 13:30:00,2017-09-11 15:15:00,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-07-19 23:00:00,"12,04,040","10,00,000",7.0,Deutsche Bank,2017-09-20 00:00:00,"12,04,040","10,00,000",,,,,,2017-09-20 00:00:00,Analyst,Willingness Sent,0.0,2017-09-16 13:27:00,2017-09-04 10:00:00,70.0,70.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-08-23 11:00:00,,,6.5,Larsen & Toubro Limited,2017-09-18 00:00:00,"6,08,184/5,14,212",,,"6,08,184/5,14,212",,,,2017-09-18 00:00:00,,Willingness Sent,0.0,2017-09-16 13:25:00,2017-08-29 10:30:00,70.0,70.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0.0,2017-08-20 13:00:00,"10,00,000",,6.0,Nucleus Software,2017-09-01 00:00:00,,,,,,,,2017-09-16 00:00:00,Software Engineer,Willingness Closed,0.0,2017-09-16 13:23:00,2017-09-01 10:00:00,65.0,65.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0.0,2017-09-16 23:00:00,3.6 - 7.2 LPA,3.6 - 6 LPA,0.0,Athansys,,3.6 - 7.2 LPA,3.6 - 6 LPA,,3.6 - 7.2 LPA,3.6 - 6 LPA,,,,Business Development Officer,Under Branch Issue,0.0,2017-09-16 12:44:00,,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.0,2017-08-10 12:00:00,"12,00,000",,7.5,SHEROES,,"12,00,000",,,,,,,,Software Engineer,Willingness Closed,0.0,2017-09-12 19:47:00,2017-09-13 15:00:00,80.0,80.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-09-09 10:00:00,"6,00,000",,6.0,ADDVERB,,"6,50,000",,,"6,50,000",,,,,,Under Branch Issue,0.0,2017-09-08 15:19:00,,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0.0,2017-09-09 10:00:00,,,0.0,Country Garden,,,,,,,"40,00,000",,,Manager Level,Under Branch Issue,0.0,2017-09-08 10:49:00,,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0.0,2017-09-07 12:00:00,,,0.0,J P MORGAN,,"12,75,000","11,00,000",,"12,75,000","11,00,000",,,,Senior Analyst,Willingness Closed,0.0,2017-09-08 09:34:00,2017-09-08 10:00:00,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
